NITRATE(PPM),PH,AMMONIA(mg/l),TEMP,DO,TURBIDITY,MANGANESE(mg/l),Predicted_WQI,Status
18.3,5.7,0.0,17.69,11.6,86.1,0.71,0.32094777,Good
3.6,5.1,0.0,19.42,10.5,71.8,0.62,0.27177495,Unsafe
13.1,5.5,0.0,18.6,10.3,75.9,0.73,0.28405783,Unsafe
18.1,5.2,0.1,19.1,9.4,70.3,0.64,0.275833,Unsafe
18.3,5.7,0.0,17.69,11.6,86.1,0.71,0.32094777,Good
3.6,5.1,0.0,19.42,10.5,71.8,0.62,0.27177495,Unsafe
13.1,5.5,0.0,18.6,10.3,75.9,0.73,0.28405783,Unsafe
18.1,5.2,0.1,19.1,9.4,70.3,0.64,0.275833,Unsafe
10.8,5.2,0.1,18.57,8.8,66.9,0.68,0.2577784,Unsafe
1.8,5.0,0.0,16.48,7.3,13.0,0.67,0.23173234,Unsafe
22.0,5.3,0.0,14.33,11.5,47.2,0.63,0.30083,Good
18.3,5.7,0.0,17.69,11.6,86.1,0.71,0.32094777,Good
3.6,5.1,0.0,19.42,10.5,71.8,0.62,0.27177495,Unsafe
13.1,5.5,0.0,18.6,10.3,75.9,0.73,0.28405783,Unsafe
18.1,5.2,0.1,19.1,9.4,70.3,0.64,0.275833,Unsafe
10.8,5.2,0.1,18.57,8.8,66.9,0.68,0.2577784,Unsafe
1.8,5.0,0.0,16.48,7.3,13.0,0.67,0.23173234,Unsafe
