Station,Date,NITRATE(PPM),PH,AMMONIA(mg/l),TEMP,DO,TURBIDITY,MANGANESE(mg/l)
station3,08-03-2022 01:59,52.9,7.0,1.0,36.08,3.0,251.5,1.74
station3,08-03-2022 02:19,107.6,9.7,0.4,31.35,2.3,219.6,2.0
station3,08-03-2022 02:39,71.5,6.8,0.2,35.1,3.4,139.5,1.45
station3,08-03-2022 02:59,47.1,6.2,0.2,22.85,3.1,234.2,1.27
station3,08-03-2022 03:19,54.1,9.7,0.2,41.3,4.1,151.1,1.12
station3,08-03-2022 03:39,56.2,8.7,0.4,36.89,4.1,194.7,0.96
station3,08-03-2022 03:59,47.1,9.8,0.5,30.49,6.3,147.2,0.99
station3,08-03-2022 04:19,115.5,8.8,0.4,30.66,6.3,235.3,1.67
station3,08-03-2022 04:39,117.1,7.0,0.2,27.45,3.9,109.6,1.79
station3,08-03-2022 04:59,110.2,7.7,1.0,39.39,1.7,267.1,1.28
station3,08-03-2022 05:19,54.6,7.3,0.3,25.57,6.0,256.4,0.82
station3,08-03-2022 05:39,100.1,7.9,0.8,34.49,6.3,108.4,1.8
station3,08-03-2022 05:59,66.3,7.2,0.3,29.39,5.2,107.5,1.61
station3,08-03-2022 06:19,60.1,7.2,1.0,35.89,4.2,290.8,0.88
station3,08-03-2022 06:39,52.70891790219075,6.863478357134948,0.384711155378486,25.370493881844855,5.322571365346316,137.8967083425537,1.1230221755239729
station3,08-03-2022 06:59,41.6,6.7,0.9,37.6,1.3,224.7,1.96
station3,08-03-2022 07:19,102.5,8.8,0.8,27.82,3.8,199.4,1.7
station3,08-03-2022 07:39,110.9,6.8,0.4,24.68,2.4,160.3,1.48
station3,08-03-2022 07:59,78.9,7.7,0.2,30.33,5.3,115.5,1.8
station3,08-03-2022 08:19,78.7,8.5,0.2,33.6,3.6,189.4,0.82
station3,08-03-2022 08:39,41.6,6.863478357134948,0.384711155378486,25.370493881844855,1.3,224.7,1.96
station3,08-03-2022 08:59,72.8,7.2,0.6,26.97,2.8,293.6,0.92
station3,08-03-2022 09:19,68.5,7.3,0.8,29.3,3.0,103.9,1.85
station3,08-03-2022 09:39,68.1,9.9,0.2,21.63,1.1,161.8,1.49
station3,08-03-2022 09:59,45.6,8.3,0.3,21.76,1.2,233.3,1.34
station3,08-03-2022 10:19,94.0,10.0,0.3,33.0,4.8,167.6,1.9
station3,08-03-2022 10:39,58.4,7.3,0.6,23.93,3.0,164.8,1.11
station3,08-03-2022 10:59,102.1,7.9,0.5,32.4,5.7,185.7,0.85
station3,08-03-2022 11:19,42.9,6.7,0.2,40.89,1.0,109.6,2.0
station3,08-03-2022 11:39,53.9,6.7,0.6,28.79,5.3,104.3,1.39
station3,08-03-2022 11:59,69.1,7.5,0.2,41.91,5.9,167.5,1.5
station3,08-03-2022 12:19,86.1,8.7,0.3,36.04,6.0,233.1,1.63
station3,08-03-2022 12:39,74.1,7.9,0.7,36.17,1.2,192.9,1.35
station3,08-03-2022 12:59,114.2,9.6,0.6,39.81,4.4,148.1,0.95
station3,08-03-2022 13:19,91.5,9.8,0.8,23.77,5.8,292.3,1.77
station3,08-03-2022 13:39,79.1,8.7,0.5,41.36,2.8,192.5,1.52
station3,08-03-2022 13:59,71.3,8.8,0.2,21.31,4.3,224.1,1.24
station3,08-03-2022 14:19,86.2,8.0,0.7,23.59,3.4,122.1,1.63
station3,08-03-2022 14:39,41.6,6.863478357134948,0.384711155378486,25.370493881844855,1.3,224.7,1.96
station3,08-03-2022 14:59,86.2,6.2,0.9,35.22,3.4,223.9,1.89
station3,08-03-2022 15:19,91.6,8.8,0.6,40.75,4.8,160.3,1.32
station3,08-03-2022 15:39,52.3,7.6,0.6,39.2,1.5,106.0,1.5
station3,08-03-2022 15:59,44.6,9.8,0.5,32.84,3.2,125.3,1.45
station3,08-03-2022 16:19,74.4,7.1,0.4,41.88,5.3,284.0,1.83
station3,08-03-2022 16:39,60.5,6.2,0.7,31.81,2.2,284.4,1.94
station3,08-03-2022 16:59,100.3,7.9,1.0,36.87,4.4,128.6,1.49
station3,08-03-2022 17:19,44.4,8.2,0.5,24.65,5.0,222.2,1.0
station3,08-03-2022 17:39,117.0,9.7,0.5,33.97,2.9,100.5,1.26
station3,08-03-2022 17:59,108.0,8.1,0.3,38.73,4.9,131.4,1.32
station3,08-03-2022 18:19,65.8,10.0,0.5,35.71,1.1,174.1,1.42
station3,08-03-2022 18:39,105.9,7.4,0.6,21.3,6.4,204.3,0.88
station3,08-03-2022 18:59,109.2,7.4,0.9,40.35,2.3,194.5,0.95
station3,08-03-2022 19:19,116.3,9.1,0.4,25.63,2.9,281.5,0.94
station3,08-03-2022 19:39,88.7,6.6,0.3,41.14,1.5,144.4,1.21
station3,08-03-2022 19:59,52.70891790219075,6.863478357134948,0.384711155378486,25.370493881844855,5.322571365346316,137.8967083425537,1.1230221755239729
station3,08-03-2022 20:19,109.6,7.9,0.8,36.79,3.5,214.7,1.87
station3,08-03-2022 20:39,43.2,6.6,0.3,37.56,2.2,148.7,1.93
station3,08-03-2022 20:59,79.6,8.8,0.4,23.47,3.7,109.5,1.78
station3,08-03-2022 21:19,88.0,7.4,0.4,40.45,3.5,107.8,1.72
station3,08-03-2022 21:39,79.1,7.3,0.7,34.0,3.2,271.7,1.63
station3,08-03-2022 21:59,105.3,7.8,0.6,34.64,5.2,118.4,1.52
station3,08-03-2022 22:19,97.2,7.9,0.9,28.14,5.9,245.5,1.82
station3,08-03-2022 22:39,43.5,8.9,0.2,24.38,1.0,236.6,0.88
station3,08-03-2022 22:59,107.9,7.3,0.2,31.37,5.4,151.1,1.62
station3,08-03-2022 23:19,109.0,8.0,0.3,34.32,4.5,292.6,1.94
station3,08-03-2022 23:39,50.9,9.0,0.2,25.89,6.5,156.1,1.76
station3,08-03-2022 23:59,52.70891790219075,6.863478357134948,0.384711155378486,25.370493881844855,5.322571365346316,137.8967083425537,1.1230221755239729
station3,09-03-2022 00:19,56.0,7.4,0.7,35.04,3.9,271.3,0.88
station3,09-03-2022 00:39,89.5,8.4,0.5,31.51,2.5,163.3,1.57
station3,09-03-2022 00:59,55.9,8.4,1.0,28.43,5.6,231.9,1.93
station3,09-03-2022 01:19,93.5,8.2,0.4,40.72,1.3,129.6,1.57
station3,09-03-2022 01:39,82.3,7.3,0.6,30.34,3.2,255.6,0.92
station3,09-03-2022 01:59,78.7,7.7,0.5,34.64,2.9,187.4,1.69
station3,09-03-2022 02:19,92.7,9.7,1.0,27.47,5.2,270.2,1.25
station3,09-03-2022 02:39,106.4,9.2,0.2,29.35,5.3,145.7,1.64
station3,09-03-2022 02:59,75.9,8.2,0.4,33.17,1.8,228.3,1.79
station3,09-03-2022 03:19,109.6,7.8,0.6,26.83,5.1,146.4,0.84
station3,09-03-2022 03:39,48.7,7.4,0.8,41.15,3.3,215.1,1.93
station3,09-03-2022 03:59,80.6,7.0,0.6,25.86,6.3,147.4,1.96
station3,09-03-2022 04:19,41.9,7.0,0.9,30.71,1.3,111.8,1.56
station3,09-03-2022 04:39,95.2,8.3,1.0,22.3,5.0,199.8,2.0
